taxon1,taxon2,taxon3,taxon4,CF12.34,CF13.24,CF14.23
A_Lyr,Bsch_0,En_2,Wt_5,0.274,0.418,0.307
A_Lyr,Bsch_0,Et_0,Is_0,0.193,0.547,0.26
A_Lyr,Bsch_0,Ha_0,Nw_0,0.54,0.249,0.211
A_Lyr,Bsch_0,Ha_0,Pna_17,0.493,0.239,0.268
A_Lyr,Bsch_0,Ha_0,Kro_0,0.523,0.26,0.217
A_Lyr,Bsch_0,Et_0,Hey_1,0.277,0.404,0.319
A_Lyr,Bsch_0,Et_0,Hau_0,0.312,0.33,0.358
A_Lyr,Bsch_0,Et_0,Ha_0,0.33,0.311,0.359
A_Lyr,Bsch_0,Ha_0,Is_0,0.211,0.56,0.229
A_Lyr,Bsch_0,Et_0,Tu_0,0.284,0.407,0.309
A_Lyr,Bsch_0,Et_0,Jm_0,0.312,0.344,0.343
A_Lyr,Bsch_0,Et_0,Kro_0,0.302,0.351,0.347
A_Lyr,Bsch_0,Et_0,Tha_1,0.255,0.377,0.368
A_Lyr,Bsch_0,Et_0,Nw_0,0.302,0.347,0.352
A_Lyr,Bsch_0,Et_0,Uk_1,0.311,0.351,0.339
A_Lyr,Bsch_0,Et_0,Qar_8a,0.288,0.236,0.476
A_Lyr,Bsch_0,Ha_0,Rome_1,0.382,0.317,0.301
A_Lyr,Bsch_0,Et_0,Uod_1,0.304,0.324,0.372
A_Lyr,Bsch_0,Et_0,Pla_0,0.38,0.281,0.339
A_Lyr,Bsch_0,Ha_0,Jm_0,0.352,0.347,0.301
A_Lyr,Bsch_0,Et_0,Mnz_0,0.297,0.337,0.367
A_Lyr,Bsch_0,Et_0,Yo_0,0.301,0.318,0.381
A_Lyr,Bsch_0,Et_0,Van_0,0.331,0.335,0.334
A_Lyr,Bsch_0,Et_0,Wa_1,0.303,0.324,0.374
A_Lyr,Bsch_0,Et_0,Wt_5,0.254,0.418,0.329
A_Lyr,Bsch_0,Et_0,Pna_17,0.317,0.311,0.372
A_Lyr,Bsch_0,Ha_0,Hau_0,0.284,0.357,0.359
A_Lyr,Bsch_0,Ha_0,Hey_1,0.305,0.415,0.28
A_Lyr,Bsch_0,Et_0,Ragl_1,0.286,0.391,0.323
A_Lyr,Bsch_0,Et_0,Vind_1,0.328,0.309,0.362
A_Lyr,Bsch_0,Ha_0,Ragl_1,0.375,0.368,0.257
